country,region,default_route_type,distance_km_from_turkey,logistics_regulation,customs_process,delivery_advice,source_note
Almanya,Avrupa,Kara + Deniz,2100,"Türkiye'den Almanya ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 2100 km'dir.","Almanya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
ABD,Kuzey Amerika,Deniz + Hava,9500,"Türkiye'den ABD ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 9500 km'dir.","ABD gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Fransa,Avrupa,Kara + Deniz,2400,"Türkiye'den Fransa ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 2400 km'dir.","Fransa gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
İngiltere,Avrupa,Kara + Deniz,2900,"Türkiye'den İngiltere ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 2900 km'dir.","İngiltere gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Hollanda,Avrupa,Kara + Deniz,2600,"Türkiye'den Hollanda ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 2600 km'dir.","Hollanda gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
İtalya,Avrupa,Kara + Deniz,1700,"Türkiye'den İtalya ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 1700 km'dir.","İtalya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
İspanya,Avrupa,Kara + Deniz,3000,"Türkiye'den İspanya ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 3000 km'dir.","İspanya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Polonya,Avrupa,Kara,1900,"Türkiye'den Polonya ülkesine varsayılan rota Kara, yaklaşık mesafe 1900 km'dir.","Polonya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
BAE,Orta Doğu,Deniz + Hava,3000,"Türkiye'den BAE ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 3000 km'dir.","BAE gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Suudi Arabistan,Orta Doğu,Deniz + Kara,2500,"Türkiye'den Suudi Arabistan ülkesine varsayılan rota Deniz + Kara, yaklaşık mesafe 2500 km'dir.","Suudi Arabistan gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Kanada,Kuzey Amerika,Deniz + Hava,8200,"Türkiye'den Kanada ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 8200 km'dir.","Kanada gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
İsviçre,Avrupa,Kara + Deniz,1900,"Türkiye'den İsviçre ülkesine varsayılan rota Kara + Deniz, yaklaşık mesafe 1900 km'dir.","İsviçre gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Japonya,Asya,Deniz + Hava,9000,"Türkiye'den Japonya ülkesine varsayılan rota Deniz + Hava, yaklaşık mesafe 9000 km'dir.","Japonya gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
Çin,Asya,Deniz + Demiryolu,7500,"Türkiye'den Çin ülkesine varsayılan rota Deniz + Demiryolu, yaklaşık mesafe 7500 km'dir.","Çin gümrük sürecinde ihracat beyannamesi, fatura, çeki listesi, taşıma belgesi, menşe ve uygunluk belgeleri kontrol edilir.","En az 2 lojistik firmasından teklif alınmalı; EXW, FCA, FOB, CIF ve DDP teslim şekilleri karşılaştırılmalıdır.",Demo/proxy lojistik mevzuat verisi.
